Target,tweet_w_EOL,created_at
Rumor,فيديو: شاهد لحظة انتحار أمير سعودي في مطار لندن أثناء محاولة ترحيله ,2020-07-12 23:53:00.416769
Non-rumor,وفاة صاحب السمو الملكي الأمير عبدالعزيز بن بندر بن محمد ,2020-07-12 23:53:28.464464
Non-rumor,وفاة صاحب السمو الملكي الأمير عبدالعزيز بن بندر بن محمد ,2020-07-13 04:08:05.090586
Non-rumor,وفة صحب لسمو لملكي لأمير عبدلعزيز بن بندر بن محمد ,2020-07-13 04:11:27.388239
Non-rumor,وفاة صاحب السمو الملكي الأمير عبدالعزيز بن بندر بن محمد ,2020-07-13 04:11:47.485523
Non-rumor,وفاة صاحب السمو الملكي الأمير عبدالعزيز بن بندر بن محمد ,2020-07-13 04:12:28.842095
Non-rumor,وفاة صاحب السمو الملكي الأمير عبدالعزيز بن بندر بن محمد ,2020-07-13 04:12:58.937655
Rumor,الامير محاولة ,2020-07-14 17:09:09.019910
Rumor,الامير محاولة ,2020-07-14 17:14:26.824801
Rumor,الامير محاولة ,2020-07-14 17:14:59.292692
Rumor,الامير محاولة ,2020-07-14 17:17:19.499053
Rumor,الامير محاولة ,2020-07-14 17:17:47.672229
Rumor,الامير محاولة ,2020-07-14 17:18:33.314976
Rumor,الامير محاولة ,2020-07-14 17:20:01.511761
Rumor,الامير محاولة ,2020-07-14 17:20:53.287398
Rumor,الامير محاولة ,2020-07-14 17:21:48.457323
Rumor,الامير محاولة ,2020-07-14 17:23:33.497439
Rumor,الامير محاولة ,2020-07-14 17:31:11.539264
Non-rumor,@Tabayan_test1_bot ,2020-07-14 17:39:12.341745
Rumor,محاولة الامير ,2020-07-14 17:39:44.311192
Rumor,محاولة الامير ,2020-07-14 17:43:05.206024
Rumor,محاولة الامير ,2020-07-14 17:48:36.200734
Rumor,محاولة الامير ,2020-07-14 17:50:05.239533
Non-rumor,٠٩٨٦بانسين ,2020-07-14 18:10:50.195485
Non-rumor,محاولة ,2020-07-14 18:23:42.693248
Rumor,محاولة الامير ,2020-07-14 18:24:02.300539
Non-rumor,محاولة الأمير ,2020-07-14 18:24:15.912392
Non-rumor,محاولة الأمير ,2020-07-14 18:24:52.553578
Rumor,محاولة الامير ,2020-07-14 18:25:12.803454
Rumor,محاولة الامير ,2020-07-14 18:26:02.476844
Rumor,مجاولة الامير ,2020-07-14 18:30:31.934874
Non-rumor,لا ,2020-07-14 18:32:48.940004
Rumor,محاولة الامير ,2020-07-14 21:55:35.747049
Non-rumor,محاولة الأمير ,2020-07-14 21:56:11.655239
Non-rumor,محاولة الأمير ,2020-07-14 21:56:37.027425
Rumor,هزه ارضيه ,2020-07-14 21:56:59.975090
Rumor,هزه ارضيه ,2020-07-14 21:57:42.612130
Rumor,هزه ارضيه ,2020-07-14 21:59:18.984021
Rumor,هزه ارضيه ,2020-07-14 21:59:38.812614
Rumor,هزه ارضيه ,2020-07-14 22:00:02.361795
Rumor,هزه ارضيه ,2020-07-14 22:00:19.482037
Rumor,هزه ارضيه ,2020-07-14 22:01:19.644235
Rumor,هزه ارضيه ,2020-07-14 22:01:37.407757
Rumor,هزه ارضيه ,2020-07-14 22:02:52.097289
Rumor,هزه ارضيه ,2020-07-14 22:03:32.436471
Rumor,هزه ارضيه ,2020-07-14 22:04:22.149247
Non-rumor,هزه ,2020-07-14 22:06:17.259261
Rumor,هزه ارضيه ,2020-07-14 22:06:43.179981
Rumor,هزه ارضيه ,2020-07-14 22:07:15.964355
Non-rumor,هزه ,2020-07-14 22:07:25.585639
Non-rumor,هزه ,2020-07-14 22:07:42.185272
Rumor,هزه ارضيه ,2020-07-14 22:08:40.701843
Non-rumor,هره ,2020-07-14 22:08:59.025867
Non-rumor,هزه ,2020-07-14 22:13:17.976203
Non-rumor,هزه ,2020-07-14 22:13:26.907331
Non-rumor,هزه ,2020-07-14 22:13:40.926860
Non-rumor,هزه ,2020-07-14 22:13:50.958049
Non-rumor,هزه ,2020-07-14 22:14:17.708236
Non-rumor,هواه ,2020-07-14 22:14:33.411041
Non-rumor,هزه ,2020-07-14 22:15:49.424871
Non-rumor,مكالمه ,2020-07-14 22:16:12.026022
Non-rumor,هلا ,2020-07-14 22:16:27.669211
Rumor,امير ,2020-07-14 22:40:47.393903
Rumor,الامير ,2020-07-14 22:41:23.771672
Rumor,الامير ,2020-07-14 22:41:42.601345
Rumor,الامير ,2020-07-14 22:42:07.941615
Non-rumor,لا ,2020-07-14 22:42:24.176224
Non-rumor,لا ,2020-07-14 22:43:20.712115
Non-rumor,لا ,2020-07-14 22:43:27.178831
Non-rumor,لا ,2020-07-14 22:43:42.720292
Non-rumor,نعم ,2020-07-14 22:43:49.879158
Non-rumor,لا ,2020-07-14 22:44:15.469900
Non-rumor,با ,2020-07-14 22:46:21.221946
Non-rumor,طيب ,2020-07-14 22:46:37.011743
Non-rumor,لا ,2020-07-14 22:46:55.600060
Non-rumor,لا ,2020-07-14 22:47:11.786797
Non-rumor, ,2020-07-14 22:48:11.839288
Non-rumor,لا ,2020-07-14 22:49:22.988123
Non-rumor,لا ,2020-07-14 22:49:42.125971
Rumor,محاولة الامير ,2020-07-14 22:50:32.693814
Rumor,محاولة الامير ,2020-07-14 22:50:56.706632
Non-rumor,وفاة صاحب السمو الملكي الأمير عبدالعزيز بن بندر بن محمد ,2020-07-15 16:48:35.728231
Non-rumor,محاولة انتحار ,2020-07-25 21:33:58.510949
Non-rumor,محاولة انتحار ,2020-07-25 21:35:38.705303
Non-rumor,محاولة انتحار ,2020-07-25 21:37:10.062014
Non-rumor,محاولة انتحار ,2020-07-25 21:38:32.402834
